score_adjusted,bubble_rating,views,location_grade,amenity_count,time_to_booking,Actual_Segment,Predicted_Segment
3.0,3.0,0,100.0,30,23,Low-Price Hotels,Low-Price Hotels
3.16666666666667,3.0,0,100.0,15,7,Mid-Price Hotels,Mid-Price Hotels
4.35384615384615,4.5,0,100.0,14,17,Mid-Price Hotels,Mid-Price Hotels
4.63636363636364,4.5,0,64.0,22,12,Mid-Price Hotels,Mid-Price Hotels
4.84,5.0,0,100.0,32,11,High-Price Hotels,High-Price Hotels
4.3695652173913,4.5,0,100.0,24,12,High-Price Hotels,High-Price Hotels
5.0,5.0,0,100.0,10,17,Mid-Price Hotels,Mid-Price Hotels
2.5,2.5,0,100.0,5,30,Low-Price Hotels,Low-Price Hotels
4.01533154465312,4.0,9,100.0,45,10,High-Price Hotels,High-Price Hotels
3.88,4.0,0,71.0,17,18,Low-Price Hotels,Low-Price Hotels
3.20731707317073,3.0,0,91.0,9,11,Mid-Price Hotels,Mid-Price Hotels
4.61153846153846,4.5,0,100.0,18,14,High-Price Hotels,High-Price Hotels
4.0,4.0,0,100.0,1,21,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,100.0,10,3,High-Price Hotels,High-Price Hotels
4.8,5.0,0,100.0,31,14,High-Price Hotels,High-Price Hotels
4.65384615384615,4.5,0,95.0,12,17,Mid-Price Hotels,Mid-Price Hotels
3.45,3.5,0,100.0,12,10,Mid-Price Hotels,Mid-Price Hotels
1.6,1.5,0,100.0,5,28,Low-Price Hotels,Low-Price Hotels
3.02380952380952,3.0,0,100.0,10,10,Mid-Price Hotels,Mid-Price Hotels
2.125,2.0,0,100.0,3,28,Low-Price Hotels,Low-Price Hotels
3.14333706606943,3.0,6,100.0,21,16,Mid-Price Hotels,Mid-Price Hotels
4.8,5.0,0,100.0,19,24,Mid-Price Hotels,Mid-Price Hotels
4.97872340425532,5.0,0,100.0,6,19,Mid-Price Hotels,Mid-Price Hotels
3.96774193548387,4.0,0,100.0,17,19,Mid-Price Hotels,Mid-Price Hotels
3.90052816901408,4.0,0,100.0,23,6,High-Price Hotels,High-Price Hotels
4.0,4.0,0,100.0,3,23,Low-Price Hotels,Low-Price Hotels
4.28571428571429,4.5,0,98.0,0,26,Low-Price Hotels,Low-Price Hotels
4.78571428571429,5.0,0,100.0,23,8,High-Price Hotels,High-Price Hotels
3.03571428571429,3.0,0,74.0,15,29,Low-Price Hotels,Low-Price Hotels
4.6271186440678,4.5,0,100.0,26,23,Mid-Price Hotels,Mid-Price Hotels
4.61889250814332,4.5,12,100.0,25,11,High-Price Hotels,High-Price Hotels
3.2,3.0,0,58.0,1,8,Low-Price Hotels,Low-Price Hotels
4.75510204081633,5.0,0,100.0,30,16,High-Price Hotels,High-Price Hotels
1.25,1.5,0,100.0,0,18,Low-Price Hotels,Low-Price Hotels
4.66666666666667,4.5,0,100.0,14,27,Low-Price Hotels,Low-Price Hotels
3.59459459459459,3.5,0,57.0,2,7,Low-Price Hotels,Low-Price Hotels
4.64814814814815,4.5,0,100.0,22,11,High-Price Hotels,High-Price Hotels
4.57142857142857,4.5,0,84.0,7,5,High-Price Hotels,High-Price Hotels
3.64539007092199,3.5,0,100.0,91,30,Mid-Price Hotels,Mid-Price Hotels
3.80232558139535,4.0,0,85.0,51,8,High-Price Hotels,High-Price Hotels
4.5,4.5,0,100.0,0,10,Mid-Price Hotels,Mid-Price Hotels
4.58620689655172,4.5,0,82.0,14,20,Low-Price Hotels,Low-Price Hotels
1.33333333333333,1.5,0,100.0,14,27,Low-Price Hotels,Low-Price Hotels
4.625,4.5,0,91.0,4,12,Mid-Price Hotels,Mid-Price Hotels
3.50649350649351,3.5,0,100.0,24,11,Mid-Price Hotels,Mid-Price Hotels
3.8474025974026,4.0,0,100.0,23,26,Low-Price Hotels,Low-Price Hotels
4.0,4.0,0,100.0,12,29,Low-Price Hotels,Low-Price Hotels
4.29032258064516,4.5,0,100.0,16,26,Low-Price Hotels,Low-Price Hotels
4.90476190476191,5.0,0,98.0,23,3,High-Price Hotels,High-Price Hotels
3.9375,4.0,0,100.0,11,1,High-Price Hotels,High-Price Hotels
2.45238095238095,2.5,0,82.0,10,26,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,89.0,0,10,Mid-Price Hotels,Mid-Price Hotels
3.5,3.5,0,100.0,16,25,Low-Price Hotels,Low-Price Hotels
4.0,4.0,0,100.0,12,29,Low-Price Hotels,Low-Price Hotels
4.63368669022379,4.5,9,100.0,51,9,High-Price Hotels,High-Price Hotels
4.56862745098039,4.5,0,100.0,33,6,High-Price Hotels,High-Price Hotels
4.5,4.5,0,36.0,28,9,Low-Price Hotels,Low-Price Hotels
4.75581395348837,5.0,0,100.0,14,26,Low-Price Hotels,Mid-Price Hotels
4.72560975609756,4.5,0,100.0,17,7,High-Price Hotels,High-Price Hotels
5.0,5.0,0,100.0,19,4,High-Price Hotels,High-Price Hotels
4.77459874389393,5.0,7,95.0,25,2,High-Price Hotels,High-Price Hotels
4.55555555555556,4.5,0,75.0,16,12,Mid-Price Hotels,High-Price Hotels
3.26315789473684,3.5,0,100.0,16,19,Low-Price Hotels,Low-Price Hotels
1.88888888888889,2.0,0,100.0,2,2,Mid-Price Hotels,Mid-Price Hotels
4.45394736842105,4.5,0,100.0,27,9,High-Price Hotels,High-Price Hotels
5.0,5.0,0,57.0,5,13,Low-Price Hotels,Low-Price Hotels
4.92307692307692,5.0,0,100.0,35,1,High-Price Hotels,High-Price Hotels
3.5,3.5,0,100.0,0,6,Mid-Price Hotels,Mid-Price Hotels
2.0,2.0,0,89.0,0,12,Low-Price Hotels,Low-Price Hotels
3.6,3.5,0,56.0,0,13,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,100.0,14,8,High-Price Hotels,High-Price Hotels
1.0,1.0,0,100.0,0,5,Low-Price Hotels,Low-Price Hotels
3.66666666666667,3.5,0,100.0,6,22,Low-Price Hotels,Low-Price Hotels
4.49049429657795,4.5,0,100.0,18,9,High-Price Hotels,High-Price Hotels
4.38837920489297,4.5,0,100.0,0,26,Low-Price Hotels,Low-Price Hotels
4.44444444444444,4.5,0,100.0,15,18,Mid-Price Hotels,Mid-Price Hotels
4.09704641350211,4.0,0,100.0,24,5,High-Price Hotels,High-Price Hotels
4.51063829787234,4.5,0,100.0,21,26,Mid-Price Hotels,Low-Price Hotels
4.76785714285714,5.0,0,100.0,5,20,Mid-Price Hotels,Mid-Price Hotels
4.41428571428571,4.5,0,99.0,43,3,High-Price Hotels,High-Price Hotels
4.27272727272727,4.5,0,100.0,11,19,Mid-Price Hotels,Mid-Price Hotels
4.49367088607595,4.5,0,77.0,17,24,Low-Price Hotels,Low-Price Hotels
4.62727272727273,4.5,0,96.0,37,11,High-Price Hotels,High-Price Hotels
2.33333333333333,2.5,0,92.0,0,10,Low-Price Hotels,Low-Price Hotels
4.69512195121951,4.5,0,100.0,8,16,Mid-Price Hotels,Mid-Price Hotels
4.66081871345029,4.5,0,100.0,20,22,Mid-Price Hotels,Mid-Price Hotels
4.50722145804677,4.5,2,100.0,28,5,High-Price Hotels,High-Price Hotels
4.0,4.0,0,100.0,20,30,Low-Price Hotels,Low-Price Hotels
4.76712328767123,5.0,0,100.0,18,12,High-Price Hotels,High-Price Hotels
1.5,1.5,0,100.0,32,7,Mid-Price Hotels,Mid-Price Hotels
2.6875,2.5,0,96.0,12,19,Low-Price Hotels,Low-Price Hotels
4.94805194805195,5.0,0,100.0,35,2,High-Price Hotels,High-Price Hotels
4.47272727272727,4.5,0,100.0,17,23,Mid-Price Hotels,Mid-Price Hotels
3.81581160639193,4.0,0,100.0,28,21,Mid-Price Hotels,Mid-Price Hotels
4.59333333333333,4.5,0,91.0,13,22,Low-Price Hotels,Mid-Price Hotels
2.93548387096774,3.0,0,100.0,13,8,Mid-Price Hotels,Mid-Price Hotels
4.47619047619048,4.5,0,100.0,4,9,High-Price Hotels,Mid-Price Hotels
4.57692307692308,4.5,0,100.0,27,3,High-Price Hotels,High-Price Hotels
4.37931034482759,4.5,0,100.0,23,22,Mid-Price Hotels,Mid-Price Hotels
4.36170212765957,4.5,0,100.0,15,14,Mid-Price Hotels,Mid-Price Hotels
4.38095238095238,4.5,0,85.0,10,30,Low-Price Hotels,Low-Price Hotels
4.90322580645161,5.0,0,100.0,39,4,High-Price Hotels,High-Price Hotels
4.75609756097561,5.0,0,100.0,39,25,Mid-Price Hotels,Mid-Price Hotels
4.30769230769231,4.5,0,93.0,17,22,Low-Price Hotels,Mid-Price Hotels
4.42603550295858,4.5,0,100.0,38,24,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,68.0,12,8,Mid-Price Hotels,Mid-Price Hotels
4.27027027027027,4.5,0,94.0,20,18,Mid-Price Hotels,Mid-Price Hotels
4.96666666666667,5.0,0,100.0,18,22,Mid-Price Hotels,Mid-Price Hotels
4.4,4.5,0,100.0,14,16,Mid-Price Hotels,Mid-Price Hotels
3.80120481927711,4.0,0,100.0,21,16,Mid-Price Hotels,Mid-Price Hotels
4.4,4.5,0,100.0,2,16,Mid-Price Hotels,Mid-Price Hotels
